x,y
0.364659,0.596254
0.332917,0.528312
0.245868,0.410342
0.241584,0.307497
0.210123,0.288011
0.195714,0.188618
0.226293,0.198191
0.270403,0.191786
0.293910,0.100599
0.330030,0.087791
0.388364,0.032937
0.397445,0.030000
0.407717,0.030829
0.416032,0.034643
0.424375,0.039201
0.432523,0.042869
0.442022,0.050803
0.448463,0.059919
0.452781,0.072374
0.462964,0.098301
0.480149,0.112812
0.509094,0.094305
0.538082,0.097601
0.568132,0.119525
0.596011,0.133524
0.618277,0.162489
0.632806,0.202920
0.648282,0.230289
0.671625,0.232470
0.688079,0.242223
0.699202,0.259704
0.708969,0.268940
0.714303,0.272164
0.726105,0.271234
0.746600,0.263053
0.751499,0.262553
0.753756,0.262796
0.755505,0.262868
0.756691,0.262793
0.757920,0.262550
0.759953,0.262116
0.762643,0.261279
0.765516,0.259761
0.765931,0.263283
0.765960,0.264143
0.765997,0.264413
0.766242,0.266759
0.766462,0.269332
0.766566,0.270722
0.766831,0.273963
0.767143,0.277305
0.761056,0.291229
0.752591,0.296408
0.750276,0.317682
0.766180,0.315778
0.764192,0.331903
0.764967,0.340748
0.759644,0.340300
0.751522,0.343182
0.751113,0.369298
0.740653,0.378985
0.732285,0.391252
0.724197,0.409582
0.694796,0.423443
0.691532,0.444934
0.680506,0.472657
0.674192,0.486896
0.666547,0.506225
0.674502,0.509180
0.680870,0.511677
0.684100,0.518435
0.677278,0.528992
0.658675,0.537938
0.661545,0.550919
0.669157,0.563969
0.675866,0.578409
0.684369,0.586015
0.692030,0.595415
0.685007,0.599543
0.676273,0.599195
0.673038,0.608049
0.670082,0.625447
0.668194,0.655022
0.656514,0.670576
0.657131,0.675634
0.659729,0.675906
0.661953,0.679757
0.662855,0.686118
0.663098,0.692977
0.666904,0.695590
0.669253,0.698946
0.672989,0.700620
0.676652,0.697138
0.681197,0.695044
0.687273,0.692326
0.694284,0.701475
0.702296,0.726012
0.694119,0.737134
0.684734,0.748825
0.678981,0.752639
0.675009,0.760768
0.671018,0.767623
0.668323,0.773880
0.664540,0.779997
0.659976,0.787173
0.660192,0.801953
0.656712,0.809762
0.650089,0.816584
0.634060,0.798204
0.624013,0.794398
0.623338,0.822110
0.621583,0.822496
0.617890,0.823392
0.616039,0.823849
0.614880,0.824108
0.613799,0.824352
0.613109,0.823978
0.610180,0.822219
0.609373,0.821038
0.607380,0.817913
0.605806,0.815417
0.605426,0.814992
0.604807,0.814514
0.604012,0.814373
0.603580,0.814596
0.601409,0.814445
0.600224,0.815015
0.598690,0.818536
0.597401,0.819918
0.596957,0.819181
0.596125,0.817720
0.595246,0.816250
0.594827,0.815869
0.594227,0.815521
0.592045,0.814233
0.590919,0.813092
0.589541,0.811474
0.588230,0.809577
0.587422,0.808626
0.586852,0.807963
0.586247,0.807308
0.585224,0.806905
0.584461,0.806200
0.583424,0.805106
0.582480,0.804036
0.580023,0.801354
0.579086,0.800730
0.577896,0.800345
0.577316,0.800168
0.576250,0.799818
0.575006,0.799443
0.574543,0.799302
0.574020,0.799130
0.573594,0.798985
0.572892,0.798818
0.567492,0.799058
0.564317,0.799669
0.556243,0.805114
0.555468,0.805006
0.550721,0.802619
0.549642,0.802869
0.543792,0.823553
0.548816,0.844965
0.549900,0.862890
0.558975,0.888120
0.562724,0.902661
0.562968,0.903794
0.563009,0.905492
0.563019,0.906243
0.563274,0.908605
0.564101,0.912276
0.565055,0.915875
0.566624,0.921739
0.567083,0.923218
0.567551,0.924387
0.569948,0.929905
0.570384,0.933318
0.567238,0.935754
0.566453,0.936364
0.566215,0.936762
0.565694,0.937314
0.565107,0.937827
0.564440,0.938384
0.563785,0.938753
0.563358,0.939004
0.562733,0.938991
0.561890,0.939105
0.560736,0.939147
0.559704,0.939392
0.559230,0.938170
0.559249,0.937976
0.559068,0.937788
0.558990,0.937817
0.558355,0.938756
0.557781,0.939864
0.552226,0.936074
0.551224,0.936909
0.549635,0.934810
0.549402,0.933694
0.548294,0.929965
0.545788,0.929415
0.544836,0.930331
0.541149,0.933396
0.538088,0.935814
0.514658,0.954271
0.487469,0.888025
0.479160,0.859918
0.449668,0.771928
0.416485,0.696300
0.395298,0.664233
0.377472,0.621055
0.364659,0.596254
